Date,Entry,Exit
2013-02-22,5,15
2013-03-01,86,145
2013-03-08,4,3
2013-03-15,3,1
2013-03-22,3,1
2013-03-29,3,1
2013-04-05,12,15
2013-04-12,93,141
2013-04-19,1,0
2013-04-26,47,2
2013-05-03,144,331
2013-05-10,105,237
2013-05-17,207,529
2013-05-24,179,789
2013-05-31,359,760
2013-06-07,216,487
2013-06-14,182,398
2013-06-21,143,278
2013-06-28,268,576
2013-07-05,193,600
2013-07-12,203,439
2013-07-19,180,502
2013-07-26,198,341
2013-08-02,196,550
2013-08-09,175,477
2013-08-16,201,482
2013-08-23,229,637
2013-08-30,230,582
2013-09-06,190,617
2013-09-13,239,552
2013-09-20,196,468
2013-09-27,196,390
2013-10-04,269,401
2013-10-11,199,366
2013-10-18,255,524
2013-10-25,189,542
2013-11-01,272,707
2013-11-08,135,366
2013-11-15,219,352
2013-11-22,99,105
2013-11-29,284,613
2013-12-06,215,370
2013-12-13,363,722
2013-12-20,243,465
2013-12-27,159,356
2014-01-03,214,589
2014-01-10,222,494
2014-01-17,248,445
2014-01-24,226,445
2014-01-31,268,543
2014-02-07,268,564
2014-02-14,302,561
2014-02-21,234,512
2014-02-28,309,703
2014-03-07,250,603
2014-03-14,307,773
2014-03-21,284,519
2014-03-28,323,855
2014-04-04,264,687
2014-04-11,215,683
2014-04-18,151,256
2014-04-25,198,272
2014-05-02,222,784
2014-05-09,178,668
2014-05-16,285,1025
2014-05-23,349,724
2014-05-30,280,630
2014-06-06,347,785
2014-06-13,248,690
2014-06-20,259,687
2014-06-27,222,799
2014-07-04,257,611
2014-07-11,268,713
2014-07-18,235,527
2014-07-25,204,566
2014-08-01,241,665
2014-08-08,265,796
2014-08-15,267,668
2014-08-22,261,724
2014-08-29,245,864
2014-09-05,263,918
2014-09-12,298,855
2014-09-19,338,779
2014-09-26,298,1033
2014-10-03,266,745
2014-10-10,309,888
2014-10-17,343,744
2014-10-24,247,836
2014-10-31,320,750
2014-11-07,265,966
2014-11-14,344,815
2014-11-21,293,907
2014-11-28,332,750
2014-12-05,282,780
2014-12-12,327,805
2014-12-19,331,731
2014-12-26,130,198
2015-01-02,234,444
2015-01-09,281,697
2015-01-16,276,783
2015-01-23,322,934
2015-01-30,278,954
2015-02-06,311,887
2015-02-13,332,879
2015-02-20,384,953
2015-02-27,360,1032
2015-03-06,362,878
2015-03-13,395,1031
2015-03-20,342,809
2015-03-27,373,1128
2015-04-03,169,282
2015-04-10,368,1033
2015-04-17,300,961
2015-04-24,345,1099
2015-05-01,358,1131
2015-05-08,349,1015
2015-05-15,314,989
2015-05-22,395,863
2015-05-29,367,907
2015-06-05,419,937
2015-06-12,274,860
2015-06-19,283,818
2015-06-26,362,1226
2015-07-03,300,852
2015-07-10,325,842
2015-07-17,286,974
2015-07-24,291,1022
2015-07-31,302,944
2015-08-07,366,1005
2015-08-14,301,1242
2015-08-21,346,970
2015-08-28,302,825
2015-09-04,288,1143
2015-09-11,327,943
2015-09-18,346,1015
2015-09-25,336,861
2015-10-02,366,865
2015-10-09,326,1045
2015-10-16,390,923
2015-10-23,388,925
2015-10-30,374,1163
2015-11-06,377,1143
2015-11-13,312,998
2015-11-20,333,847
2015-11-27,411,870
2015-12-04,416,1106
2015-12-11,372,1069
2015-12-18,388,1064
2015-12-25,80,173
2016-01-01,188,379
2016-01-08,351,861
2016-01-15,324,846
2016-01-22,382,1175
2016-01-29,334,1086
2016-02-05,332,992
2016-02-12,347,1028
2016-02-19,397,1184
2016-02-26,383,1104
2016-03-04,433,1022
2016-03-11,412,1194
2016-03-18,403,1003
2016-03-25,241,482
2016-04-01,402,993
2016-04-08,333,1174
2016-04-15,391,1328
2016-04-22,419,1048
2016-04-29,366,1034
2016-05-06,405,1166
2016-05-13,413,1168
2016-05-20,425,1200
2016-05-27,443,1327
2016-06-03,400,990
2016-06-10,461,1028
2016-06-17,447,1103
2016-06-24,368,932
2016-07-01,376,1136
2016-07-08,301,894
2016-07-15,351,1094
2016-07-22,409,1026
2016-07-29,357,1213
